ghsa_id,split,severity,cwe_ids,semgrep_pro,codeql_secext
GHSA-w76h-8m22-hpgh,train,medium,CWE-918,1,1
GHSA-w85g-3h6x-4xh2,test,medium,,0,0
GHSA-w8g9-x8gx-crmm,test,medium,,0,0
GHSA-w9cg-v44m-4qv8,train,medium,CWE-15;CWE-78,1,0
GHSA-wfp2-v9c7-fh79,train,medium,CWE-918,0,0
GHSA-wh94-p5m6-mr7j,train,medium,CWE-862,0,0
GHSA-whf9-3hcx-gq54,test,high,CWE-863,0,0
GHSA-wm8r-w8pf-2v6w,test,low,CWE-863,1,0
GHSA-wpc6-37g7-8q4w,test,medium,CWE-184,0,0
GHSA-wpph-cjgr-7c39,train,medium,,0,0
GHSA-wppj-c6mr-83jj,test,high,CWE-367,0,0
GHSA-wq58-2pvg-5h4f,test,high,,0,0
GHSA-ww6v-v748-x7g9,test,low,CWE-284;CWE-693,0,0
GHSA-wwfp-w96m-c6x8,test,low,,0,0
GHSA-x22m-j5qq-j49m,train,high,CWE-918,1,0
GHSA-x2cm-hg9c-mf5w,train,medium,CWE-285,0,0
GHSA-x2ff-j5c2-ggpr,train,high,CWE-863,0,0
GHSA-x2m8-53h4-6hch,train,medium,CWE-862,0,0
GHSA-x3h8-jrgh-p8jx,test,medium,CWE-200,0,0
GHSA-x4vp-4235-65hg,train,medium,CWE-400,1,0
GHSA-x9cf-3w63-rpq9,train,medium,CWE-22,0,0
GHSA-xc7w-v5x6-cc87,test,medium,CWE-306,0,0
GHSA-xgf2-vxv2-rrmg,test,medium,CWE-15;CWE-78,1,0
GHSA-xh72-v6v9-mwhc,test,critical,CWE-287;CWE-294;CWE-1188,1,0
GHSA-xhq5-45pm-2gjr,train,medium,CWE-639;CWE-863,1,0
GHSA-xj9w-5r6q-x6v4,train,high,,0,0
GHSA-xmv6-r34m-62p4,test,medium,CWE-22;CWE-59,0,0
GHSA-xmxx-7p24-h892,test,high,,1,0
GHSA-xq8g-hgh6-87hv,test,medium,CWE-307;CWE-521,0,0
GHSA-xq94-r468-qwgj,test,high,,1,0
GHSA-xrq9-jm7v-g9h7,test,low,CWE-284;CWE-863,0,0
GHSA-xvhf-x56f-2hpp,train,medium,,1,0
GHSA-xw4p-pw82-hqr7,train,high,CWE-22,0,0
GHSA-xwcj-hwhf-h378,train,medium,CWE-532,0,0
GHSA-xwjm-j929-xq7c,train,medium,CWE-22,0,0
GHSA-xxvh-5hwj-42pp,train,medium,,0,0
