ghsa_id,split,severity,cwe_ids,semgrep_pro,codeql_secext
GHSA-64qx-vpxx-mvqf,train,high,CWE-23;CWE-73;CWE-78;CWE-284,0,1
GHSA-659f-22xc-98f2,train,medium,CWE-94,1,0
GHSA-65h8-27jh-q8wv,train,high,CWE-863,0,0
GHSA-65rx-fvh6-r4h2,train,high,CWE-78;CWE-116;CWE-183,1,0
GHSA-66r7-m7xm-v49h,test,high,,0,0
GHSA-67mf-f936-ppxf,test,high,CWE-269,0,0
GHSA-68f8-9mhj-h2mp,train,medium,CWE-284;CWE-863,0,0
GHSA-68v4-hmwv-f43h,train,medium,,0,0
GHSA-6c9j-x93c-rw6j,test,medium,CWE-203,0,0
GHSA-6hf3-mhgc-cm65,test,high,CWE-209;CWE-346,1,0
GHSA-6j27-pc5c-m8w8,train,medium,CWE-78;CWE-863,0,0
GHSA-6mgf-v5j7-45cr,train,high,CWE-116;CWE-184;CWE-522,0,0
GHSA-6mqc-jqh6-x8fc,train,medium,,0,0
GHSA-6p8r-6m93-557f,train,low,,0,0
GHSA-6pfc-6m7w-m8fx,test,high,CWE-285,0,0
GHSA-6rcp-vxwf-3mfp,test,medium,CWE-436;CWE-863,0,1
GHSA-6rmx-gvvg-vh6j,test,medium,CWE-307;CWE-799,0,0
GHSA-6x2m-hqfw-hvpj,test,medium,CWE-285;CWE-863,0,0
GHSA-6xg4-82hv-cp6f,test,high,CWE-290;CWE-807,0,1
GHSA-72q8-jcmc-97wx,test,medium,,0,0
GHSA-736r-jwj6-4w23,test,high,,0,0
GHSA-7437-7hg8-frrw,test,high,CWE-78;CWE-184,0,0
GHSA-74xj-763f-264w,train,medium,CWE-20;CWE-94,0,0
GHSA-767m-xrhc-fxm7,test,medium,CWE-269,1,0
GHSA-77hf-7fqf-f227,train,medium,CWE-400;CWE-409,0,1
GHSA-77w2-crqv-cmv3,test,medium,CWE-288;CWE-863,0,0
GHSA-782p-5fr5-7fj8,test,low,CWE-74;CWE-94,1,0
GHSA-792q-qw95-f446,test,medium,CWE-863,0,0
GHSA-796m-2973-wc5q,test,high,CWE-436,1,0
GHSA-7fcc-cw49-xm78,train,medium,CWE-78,1,0
GHSA-7ff8-xjh3-mgh6,train,medium,CWE-266;CWE-863,0,0
GHSA-7g8c-cfr3-vqqr,test,medium,,0,0
GHSA-7jm2-g593-4qrc,test,medium,,1,0
GHSA-7jp6-r74r-995q,test,medium,CWE-266;CWE-863,0,1
GHSA-7jx5-9fjg-hp4m,train,medium,CWE-285,0,0
GHSA-7qf6-h84j-8fq4,train,medium,CWE-367;CWE-918,1,1
GHSA-7rcp-mxpq-72pj,train,medium,CWE-352,0,0
GHSA-7vwx-582j-j332,train,high,CWE-201,1,1
GHSA-7wv4-cc7p-jhxc,test,high,,0,0
GHSA-7xhj-55q9-pc3m,test,medium,CWE-22,1,0
GHSA-82g8-464f-2mv7,train,medium,CWE-15;CWE-94;CWE-1341,0,0
GHSA-82qx-6vj7-p8m2,test,high,,0,0
GHSA-8372-7vhw-cm6q,test,high,,0,0
GHSA-846p-hgpv-vphc,test,high,,0,1
GHSA-8689-gm9g-jgr6,test,high,,0,1
GHSA-877v-w3f5-3pcq,train,medium,,0,0
GHSA-8883-9w57-vwv6,train,medium,CWE-285;CWE-863,1,0
GHSA-89r3-6x4j-v7wf,test,low,,0,0
GHSA-8cp7-rp8r-mg77,train,medium,CWE-918,0,0
GHSA-8fmp-37rc-p5g7,train,medium,CWE-15,1,0
GHSA-8g75-q649-6pv6,test,medium,CWE-285;CWE-367,0,0
GHSA-8j9w-9pm5-pv8m,train,medium,CWE-184,0,0
GHSA-8jpq-5h99-ff5r,test,high,CWE-22,1,0
GHSA-8mf7-vv8w-hjr2,test,low,CWE-78;CWE-693,1,1
GHSA-8mh7-phf8-xgfm,train,medium,CWE-200,0,0
GHSA-8rh7-6779-cjqq,test,critical,CWE-426,0,0
GHSA-92jp-89mq-4374,test,high,,0,1
GHSA-939r-rj45-g2rj,test,high,CWE-829,1,0
GHSA-93rg-2xm5-2p9v,test,low,,1,0
GHSA-943q-mwmv-hhvh,test,high,CWE-78,0,0
GHSA-9528-x887-j2fp,test,medium,,0,0
GHSA-9868-vxmx-w862,train,medium,CWE-78;CWE-863,1,0
GHSA-98ch-45wp-ch47,test,medium,CWE-178,0,0
GHSA-98hh-7ghg-x6rq,test,high,CWE-863,0,0
GHSA-9f4w-67g7-mqwv,train,medium,,1,0
GHSA-9f72-qcpw-2hxc,train,high,CWE-200;CWE-284,0,0
GHSA-9gp8-hjxr-6f34,test,medium,,0,0
GHSA-9hjh-fr4f-gxc4,train,critical,CWE-269;CWE-863,0,0
GHSA-9jpj-g8vv-j5mf,test,medium,,0,0
GHSA-9mph-4f7v-fmvh,train,medium,,0,1
GHSA-9p3r-hh9g-5cmg,train,critical,,0,0
GHSA-9p93-7j67-5pc2,train,high,CWE-266;CWE-863,0,0
GHSA-9q2p-vc84-2rwm,test,medium,CWE-436;CWE-863,0,0
GHSA-9q36-67vc-rrwg,train,medium,CWE-284;CWE-693,0,0
GHSA-9q7v-8mr7-g23p,train,medium,CWE-918,0,0
GHSA-9wqx-g2cw-vc7r,train,medium,CWE-288;CWE-863,0,0
GHSA-c28g-vh7m-fm7v,test,medium,CWE-862,0,0
GHSA-c37p-4qqg-3p76,test,medium,CWE-306,0,1
GHSA-c4qg-j8jg-42q5,test,low,CWE-918,0,0
GHSA-c4qm-58hj-j6pj,test,medium,,0,1
GHSA-c6hr-w26q-c636,train,medium,CWE-1333,1,0
GHSA-c9h3-5p7r-mrjh,test,medium,,0,0
GHSA-ccg8-46r6-9qgj,test,medium,CWE-284;CWE-863,0,0
GHSA-ccx3-fw7q-rr2r,test,medium,,0,0
GHSA-cfp9-w5v9-3q4h,train,medium,CWE-863,0,0
GHSA-cfvj-7rx7-fc7c,train,medium,CWE-59,0,0
GHSA-chf7-jq6g-qrwv,train,medium,CWE-522,1,0
GHSA-chfm-xgc4-47rj,train,medium,,0,0
GHSA-chm2-m3w2-wcxm,test,low,CWE-290;CWE-863,1,0
GHSA-cjv3-m589-v3rx,test,medium,CWE-79;CWE-1021,0,0
GHSA-cm8v-2vh9-cxf3,test,high,CWE-78;CWE-184,0,0
GHSA-cmfr-9m2r-xwhq,test,high,CWE-863,0,0
GHSA-cqgw-44wg-44rf,train,medium,,0,0
GHSA-cv7m-c9jx-vg7q,train,high,CWE-22,0,0
GHSA-cwf8-44x6-32c2,train,high,CWE-59;CWE-434,0,0
GHSA-cwj3-vqpp-pmxr,test,high,CWE-862,1,0
GHSA-cwq8-6f96-g3q4,test,low,CWE-636;CWE-754,0,0
GHSA-cxpw-2g23-2vgw,train,low,CWE-20;CWE-400,0,0
GHSA-f44p-c7w9-7xr7,test,high,CWE-400;CWE-770,1,0
GHSA-f693-58pc-2gfr,test,low,,0,0
GHSA-f6h3-846h-2r8w,train,medium,CWE-639,0,0
GHSA-f6pf-4gjx-c94r,train,high,CWE-22,0,0
GHSA-f7fh-qg34-x2xh,test,medium,CWE-918,1,0
GHSA-f7ww-2725-qvw2,train,medium,CWE-59;CWE-367,0,0
GHSA-f8mp-vj46-cq8v,test,medium,CWE-78;CWE-426,0,0
GHSA-f934-5rqf-xx47,test,low,,0,0
GHSA-ff98-w8hj-qrxf,test,low,CWE-78,1,0
GHSA-fg3m-vhrr-8gj6,train,low,CWE-78,1,0
GHSA-fgvx-58p6-gjwc,train,medium,CWE-22;CWE-59,0,0
GHSA-fh32-73r9-rgh5,test,low,,1,0
GHSA-fh3f-q9qw-93j9,test,medium,,0,0
GHSA-fhvm-j76f-qmjv,train,high,CWE-285,1,0
GHSA-fqcm-97m6-w7rm,train,medium,CWE-22;CWE-200,0,0
GHSA-fqrj-m88p-qf3v,test,low,,0,0
GHSA-fqw4-mph7-2vr8,train,critical,CWE-863,0,0
GHSA-fv94-qvg8-xqpw,train,high,,0,0
GHSA-fvx6-pj3r-5q4q,test,medium,CWE-184,0,1
GHSA-fwjq-xwfj-gv75,train,medium,CWE-863,0,0
GHSA-g27f-9qjv-22pm,train,low,CWE-117,0,0
GHSA-g2f6-pwvx-r275,train,medium,CWE-78,0,0
GHSA-g2hm-779g-vm32,test,medium,,1,0
GHSA-g34w-4xqq-h79m,train,medium,CWE-284;CWE-863,0,0
GHSA-g353-mgv3-8pcj,test,high,CWE-347,0,0
GHSA-g374-mggx-p6xc,test,high,CWE-863,0,0
GHSA-g375-h3v6-4873,test,medium,,0,0
GHSA-g55j-c2v4-pjcg,train,high,CWE-20;CWE-78;CWE-306,1,0
GHSA-g5cg-8x5w-7jpm,train,critical,,1,0
GHSA-g6q9-8fvw-f7rf,train,high,CWE-918,0,0
GHSA-g75x-8qqm-2vxp,train,medium,CWE-426;CWE-863,0,0
GHSA-g7cr-9h7q-4qxq,train,medium,CWE-289,0,0
GHSA-g86v-f9qv-rh6m,test,low,CWE-918,0,0
GHSA-g8p2-7wf7-98mq,train,high,CWE-200,0,0
GHSA-gc9r-867r-j85f,test,low,,0,0
GHSA-gcj7-r3hg-m7w6,test,low,CWE-294;CWE-345,1,1
GHSA-gfg9-5357-hv4c,test,medium,CWE-22;CWE-200,0,1
GHSA-gg9v-mgcp-v6m7,train,high,CWE-269,0,0
GHSA-gj9q-8w99-mp8j,test,low,CWE-367,0,1
GHSA-gjm7-hw8f-73rq,test,high,,0,0
GHSA-gp3q-wpq4-5c5h,test,high,CWE-863,1,0
GHSA-gq83-8q7q-9hfx,test,medium,,0,0
GHSA-gq9c-wg68-gwj2,train,high,CWE-22,0,0
GHSA-gv46-4xfq-jv58,test,critical,CWE-20;CWE-441;CWE-863,0,0
GHSA-gw85-xp4q-5gp9,train,medium,CWE-284;CWE-863,1,0
GHSA-gwqp-86q6-w47g,train,medium,CWE-184,0,0
